stop_id,stop_code,stop_name,stop_lat,stop_lon
141,DC4477,Bharthal Village (Shyam Mandir),28.543055,77.043846
142,U02629,Ayurvigyan Nagar,28.5614,77.2222
143,U01101,Rohini Sec 7/9,28.7136,77.1171
144,DC0028,St Stephen Hospital,28.6674,77.2143
145,U00255,Durga Vihar,28.5964,76.9904
146,U00819,C-2-B Janakpuri,28.6219,77.0885
147,U03531,Saraswati Kunj,28.623867,77.301483
148,U99990MC,Central School (MCKR),28.562733,77.2328
149,U01828,Andheria More (Chhatarpur Metro Station),28.507994,77.175266
150,U02700,Ludlow Castle,28.6724,77.226
151,U03327,Shakar Pur School Block,28.6271,77.279467
152,DC3877,TilangPur Kotla,28.649733,77.027233
153,U00500,Rishal Garden,28.6619,77.048783
154,U01371,Punjabi Bagh Terminal,28.675467,77.1404
155,U01966,Model Town-III,28.7061,77.1853
156,U02346,Kendriya Terminal (Pt. Pant Marg),28.62155,77.2062166666667
157,U03052,Railway Road Bridge,28.610933,77.2518
158,U00615,Sultan Puri Crossing,28.682317,77.068783
159,U03126,Shastri Park,28.6726,77.2571
160,U03501,Government Senior Secondary School,28.6317,77.2979
161,DC0079,Chirag Dilli,28.5415,77.2296
162,U01128,PS Mayapuri,28.625217,77.119867
163,DC4414,KharKhari Rondh,28.561696,76.941952
164,DC105,Shaheen Bagh Thokar No 8 (A F Enclave ),28.54925,77.303983
165,U02901,ITPO Gate No. 3,28.6155,77.24015
166,DC4437,Shiv Enclave Dichau,28.623999,76.984556
167,U00217,Dichau Chowk,28.6173,76.983867
168,DC4460,Pandwala Village,28.5657,76.963135
169,U01158,Sadar Bazar,28.5954,77.1227
170,U01977,Model Town III,28.7059333333333,77.18525
171,U01333,Wood Market (Mansarovar Garden),28.638199,77.132423
172,U02757,Bharti Nagar,28.596683,77.228717
173,DC3959,Sunehari Pulla Depot / Jawaharlal  Nehru Stadium Terminal,28.5901157,77.2334405
174,U01288,Shankar Vihar/ National Highway 8,28.566367,77.134283
175,U01236,Mahipal Pur Village,28.54571,77.126809
176,U02237RS,Ravinder Rang Shala,28.640867,77.194933
177,U01835,R K Puram Nab,28.56125,77.1763
178,U00194,Tikri Hospital,28.6869,76.9783
179,U01114,Rangpuri,28.542143,77.118347
180,U02481,Udyog Bhawan,28.6126,77.2122
181,U02515,Vishwa Vidyalaya Metro Station,28.695083,77.215367
182,DC4397,ShivRam Park,28.667833,77.055183
183,U00736,Kapashera Border,28.5217,77.082117
184,U02176,Sant Nagar A-1,28.7387,77.1975
185,U01025,D Block Janakpuri,28.60785,77.10395
186,U03246,B-Block Yamuna Vihar,28.703117,77.270033
187,DC3837,APS School Dhaula Kuan,28.601533,77.168417
188,U01057,DDU Hospital,28.6282,77.111
189,U99789A,Rani Khera Bus Stand,28.7031,77.0279
190,U02112,Rana Pratap Bagh,28.6882666666667,77.1937
191,DC3625,Swaroop Nagar JJ Colony,28.7559,77.162867
192,U02468,HaujRani / MaxHospital,28.5283,77.212
193,U02291,Model Basti,28.6572,77.2038
194,U01096A,More Lines,28.583167,77.116567
195,DC3860,Kirari Railway Xing,28.686583,77.0625
196,U01630PC,Indian AirLine Colony/Priya Cinema,28.558583,77.158
197,U02596,South Extension,28.568367,77.22315
198,U01272,PitampuraMetro Stn (MadhuvanChowk),28.7029,77.1325
199,DC4523,Ishwar Colony,28.794758,77.029958
200,U02309,SJ Hospital,28.569483,77.204517
201,U01498,TV Tower (Power House),28.6997,77.1512
202,DC3982,Shiv Mandir,28.689933,77.28395
203,U01837,Shastri Nagar E Block,28.6711,77.17605
204,U02652,DIPSAR College of Pharmacy,28.5161,77.2237
205,U00932,Tilak Nagar,28.6367,77.097
206,U99881,Gagan Vihar,28.6455,77.2979
207,U02288,Gole Market,28.6347,77.2037
208,DC4374,Ranhola II,28.654617,77.038017
209,DC4703,Chandan Market Greater Kailash- II,28.531741,77.245673
210,DC3774,Christian Kabristan,28.7307,77.1902
211,U03772,Seemapuri Old,28.681,77.3279
212,U01035,New Multan Nagar,28.67755,77.1116
213,U00446,Swarn Park,28.6824,77.0408
214,DC4311,Dichau Kalan Depot,28.629012,76.997728
215,U03662,Gazipur Village,28.63225,77.315683
216,DC3688,Shaheen Bagh Thokar No. 8 (AF Enclave),28.549117,77.303983
217,DC4766,Fire Station Tikri Village,28.671106,76.960371
218,DC3588,Garhi Maidu,28.6992,77.255533
219,U01467,Power House,28.673017,77.14725
220,U03384,East Azad Nagar,28.666167,77.283917
221,U02747,Bharti Nagar,28.5978,77.228467
222,U02105,Pusa Road Petrol Pump Sadhu Vaswani Marg,28.644583,77.192833
223,DC3542,Nangli Dairy,28.619772,77.017944
224,DC3565,Arjun Park,28.618,77.012067
225,DC0078,Alaknanda Apartments,28.525582,77.253435
226,U02462,HaujRani / MaxHospital,28.5285,77.2119
227,U00484,Sukhbeer Nagar,28.727533,77.04895
228,DC0055,CV Raman ITI,28.72095,77.20015
229,U01153,Rohini Depot II,28.729833,77.121833
230,U01196,Rajdhani College / Raja Garden,28.654783,77.125417
231,U01859,RK Puram Sec-1,28.5642,77.1785
232,U02523A,Shivaji Stadium Terminal,28.63275,77.215633
233,U01541,Maharana Pratap Chowk,28.588067,77.1509
234,U00262,Deenpur Village,28.5933,76.9918
235,U01546,Punjab Kesari (Subhash Palace Depot),28.696,77.1558
236,U02272,Gole Market,28.6352,77.2031
237,U01243,Vidya Marg Apartments,28.724633,77.129167
238,DC0117,Ali Village,28.516117,77.296567
239,DC3711,Qamruddin Nagar Terminal,28.682022,77.054099
240,U01080,Janak Setu,28.6104,77.1138
241,DC0011,Avantika Crossing,28.69875,77.0964
242,DC3757,Modern School  Vasant Vihar F Block,28.559967,77.157317
243,U00383,TilangPur Kotla,28.649406,77.027234
244,DC3857,Krishna Colony,28.746817,77.087767
245,DC4689,Balaji Enclave,28.767583,76.964667
246,U99879,Delhi University,28.688417,77.214833
247,U00979,Mangolpur Kalan Village,28.6956166666667,77.1011833333333
248,U01014,Mangolpuri School,28.69465,77.105367
249,U02789,Sheikh Sarai More,28.5328,77.2306
250,DC4543,C P J College,28.857652,77.095746
251,U00449,Dwarka Sec 13-3 Xing,28.602567,77.040983
252,U00592,Nangloi Metro Station,28.682006,77.064933
253,DC4520,Shri Krishna Gaushala,28.779314,77.021694
254,U01013,Meenakshi Garden,28.639983,77.10435
255,U01082,Swarg Ashram,28.631,77.1149
256,U00982,Rithala Village,28.717233,77.1014
257,U03046,Garhi Gaon,28.5621,77.2512
258,U00767,CRPF Camp,28.645917,77.084483
259,U03029,Nehru Place,28.5486,77.2492
260,NS0257,Thimiyan Park,28.60265,77.133483
261,U03790,Shalimar Garden Crossing,28.6885,77.3303
262,DC4314,Dichau Chowk,28.616915,76.983843
263,U02237,Meghdoot Bhawan,28.644,77.200983
264,U03640,Yojana Vihar,28.65965,77.315183
265,U01331,Pittam Pura R U-Block,28.7111,77.1371
266,DC102,Tagore Garden D Block,28.652783,77.111967
267,U01871,RK Puram Sec-12,28.5723,77.1798
268,U03521,Prince Apartment,28.63095,77.3008
269,DC3734,Pusta No 5 Sonia Vihar,28.734583,77.246633
270,U02193,Burari Village,28.754,77.1988
271,U03277,Holy Family Hospital,28.561083,77.275417
272,DC4122,Laxmi Narayan Temple,28.632285,77.199257
273,DC4022,Jhuljhuli Crossing,28.531783,76.9071
274,U02606,Novelty Cinema,28.6614,77.2211
275,U03433,Dharma Apartment,28.620183,77.2903
276,DC4082,Vivek Vihar Terminal,28.667933,77.3145
277,U00190,Nazafgarh Dhansa More,28.612021,76.978565
278,U00389,Kakrola More,28.618905,77.029949
279,U01582,GTK Depot,28.731183,77.158617
280,U03587,Hasanpur Depot,28.635993,77.306815
281,DC3917,Loha Mandi,28.640183,77.1455
282,DC4251,Teen Murti,28.605717,77.199067
283,U00692,M Block Vikaspuri,28.6386,77.078
284,U02702,Ambedkar Nagar Terminal,28.515951,77.225536
285,U02841,Delite Cinema,28.6412,77.2352
286,U03204,Ishwar Nagar,28.5616,77.266217
287,U99643,Kirari Lal Mandir,28.698,77.055467
288,DC3939,Shivani Apartments/ Kunj Vihar Sector-12 Dwarka,28.594117,77.035617
289,DC4059,Babarpur Extension,28.690727,77.278602
290,U03175,Tughalqabad Village,28.509067,77.265117
291,U03185,Govind Puri Metro Station,28.545217,77.2641
292,U02424,Bhavishya Nidhi Enclave,28.5422,77.2097
293,U00226,PS Najafgarh,28.6096,76.9827
294,U00813,Dabri Crossing (Pankha Road),28.613374,77.087756
295,U02830,Patiala House,28.6164,77.2339
296,DC4729,Wazirabad Crossing GT Road,28.710239,77.226842
297,DC4583,Dwarka Sec-23B Crossing,28.564247,77.039619
298,U00906,Desu Colony Janak Puri,28.609871,77.095047
299,DC4537,Old Anaj Mandi,28.845696,77.088817
300,U02543,Palika Kendra,28.628567,77.216783
301,U99892A,Garrison Engg.,28.6053666666667,77.1474333333333
302,DC0005,Rohini West Metro Station,28.715,77.115
303,DC4391,PS Ranhola,28.65355,77.035417
304,DC4145,IGI Airport Terminal 2 (Air India Office),28.557092,77.091787
305,U00662,Gurudwara Vikaspuri,28.6385,77.0743
306,DC4497,CRPF Jharoda,28.638831,76.960643
307,U01814,B2 Block Ashok Vihar Ph II,28.693274,77.177899
308,DC4474,Mundhela Khurd School,28.616066,76.896431
309,U00716,Jwala Puri / Nangloi Depot,28.681417,77.0791
310,DC3976,Seelampur Market,28.673567,77.269983
311,U01939,Bhartiya Sadhu Samaj,28.6038,77.184
312,U03598,GTB Hospital Xing,28.6893,77.3077
313,U02673,Swami Nagar,28.5423,77.2248
314,U00566,Madhu Vihar,28.599883,77.0614
315,DC0129,East Vinod Nagar Depot,28.6219,77.300783
316,U02452,Kalawati Hospital,28.6381,77.2108
317,U01043,Rohini Depot - 3,28.6952,77.1094
318,DC3694,Bharat Nagar,28.566738,77.269676
319,U02862,Red Fort,28.6577,77.2371
320,U00267,Goela Dairy Crossing,28.591193,76.993282
321,U00344,BSF Campus Chhawla,28.547717,77.009283
322,U00680,Janakpuri C-1,28.6182,77.077017
323,U02783,J L Nehru Stadium,28.5841,77.2301
324,U02418,Gurudwara Bangla Sahib,28.625333,77.209333
325,U00867,GSKV School No-1 B-Block,28.6247,77.0922
326,U00002,Dhansa Border,28.562483,76.842883
327,DC4168,CGHS Dispensary,28.644633,77.209433
328,U01720,Shalimar Bagh(Ring Road),28.7037333333333,77.1690166666667
329,DC4560,JJ Colony Bawana Crpf Camp,28.806836,77.04801
330,U03010,Indira Gandhi Stadium,28.6328,77.2472
331,DC3920,Sainik Enclave/Vikas Nagar Nala Road,28.635083,77.025383
332,U00870,C-3 Janakpuri,28.615417,77.092583
333,U01332,Rang Puri Pahari,28.5379,77.1369
334,U02533,Saket Crossing,28.5179,77.216283
335,U00272,Ghevra Crossing (Kanjhawala Road),28.685717,76.994533
336,U00343,BSF Campus Chhawla,28.5479,77.00915
337,DC3897,M Block Greater Kailash- II,28.534913,77.243555
338,U00444,Ranhola Village,28.6561,77.04065
339,U02661,Lodhi Colony 18-Block,28.586733,77.22425
340,U02199,Burari Transport Authority,28.730567,77.198467
341,U02366,Shri Ram College,28.6891,77.2068
342,U02506,Krishi Bhawan / Rail Bhawan Metro Station,28.614867,77.212383
343,DC3605,Swaroop Nagar JJ Colony (GT Road),28.7581333333333,77.1480833333333
344,U01191A,Rajdhani College / Raja Garden,28.6548,77.1254
345,DC4480,Bharthal Chowk (Bharthal Road),28.554056,77.050407
346,DC4039,East Vinod Nagar Depot,28.620079,77.30087
347,U02882,Vayu Sena Bad (Tigri),28.5129,77.2385
348,DC0048,Rithala Crossing,28.7116,77.1074
349,DC3651,CGO Complex,28.588083,77.233667
350,DC4434,Dichau Kalan School,28.642699,76.986388
351,U01754,IA Block Ashok Vihar,28.68605,77.1704333333333
352,U00291,Sai Baba Mandir (Nazafgarh),28.61375,76.99985
353,U01131,Rajouri Garden,28.648821,77.122615
354,U02426,Khalsa College,28.6947,77.2097
355,U02753,Modern School,28.6278,77.2285
356,U01068,Zunk Market,28.618117,77.112183
357,U00211,Tikri Piyau / Azad Hind Gram,28.686817,76.979933
358,U01178,Mahipal Pur Crossing,28.548083,77.125267
359,U04003A,Nehru Place Terminal,28.548512,77.257157
360,U01269,Basai Darapur / Ramesh Nagar,28.653,77.1323
361,DC4308,DTC Apartments,28.697529,77.134098
362,U02339,Panchsheel Club (Sarv Priya Vihar),28.54345,77.207483
363,U01309,Chandra Lok,28.6886,77.1353
364,U03173,Kalkaji Mandir (MaaAnandmayeeMarg),28.547767,77.262833
365,U02123,Talkatora Stadium Garden,28.621667,77.194533
366,U99854A,Okhla Extension (Abul Fazl Encalve),28.5469,77.3066
367,U03181,Kalkaji Mandir,28.55205,77.2645
368,U03043,Rajghat Gandhi Darshan,28.6389,77.2502
369,DC3528,Kair Depot,28.618117,76.930783
370,U00646A,Nangloi JJ Colony,28.682267,77.059767
371,U03013,Raj Ghat,28.6417,77.2471
372,DC3840,Raja Puri,28.60428,77.05483
373,DC4377,Kotla Vihar Phase I,28.65105,77.0302
374,U03683,Maharaj Pur Check Post,28.643267,77.316583
375,U02941,Gupta Market,28.564833,77.241433
376,DC3771,Badli Telephone Exchange,28.74485,77.13265
377,U00751,Prehladpur Village,28.7512,77.080967
378,NS0313,Hansraj College,28.679067,77.208183
379,DC3628,Dwarka Sec 13-3 Xing,28.602717,77.04115
380,DC4457,Pandwala Khurd,28.562304,76.967114
381,DC4706,Kanjhawala Depot,28.727377,77.005256
382,DC4065,Bharti Public College,28.62235,77.09365
383,U02823,Jaipur House,28.6089,77.2333
384,DC4016,Dauralla Village,28.510833,76.895533
385,U03272,Yamuna Vihar Brijpuri,28.702633,77.2737
386,U99966,Power House,28.5058,77.3008
387,U02799,Chirag Delhi,28.540967,77.232083
388,U00478,Maharishi Valmiki Hospital / Pooth Khurd,28.775033,77.047683
389,U02400,Police Station Paharganj,28.646001,77.208094
390,DC3754,Gole Market (Bhai Veer Singh Marg),28.63225,77.205467
391,DC4746,Mitraon Extension,28.6084,76.951551
392,U03336,Jamiya Millia College,28.56115,77.280117
393,DC4769,Tikri Border,28.687166,76.964812
394,U00535,Prem Nagar,28.621961,77.05731
395,DC4606,Sanskrit Vidyapeeth,28.541867,77.18305
396,NS0256,Thimiyan Park,28.602817,77.133517
397,U03349,Shahdara (Shyam Lal College),28.67307,77.282696
398,DC4228,Surya Nagar,28.66785,77.32135
399,U01490,Inderpuri A-Block,28.6287,77.1511
400,U01557,Ram Pura (Ashok Park),28.6714,77.157083
401,U03675,NHW-24 Xing (Gazipur Xing),28.630333,77.316283
402,U00491,Kiran Garden,28.62081,77.048338
403,U02048,T B Hospital,28.5283,77.1897
404,U01402,Shakurpur Shiv Mandir,28.680921,77.142863
405,U02591,Prithviraj Road Crossing,28.59745,77.220083
406,U03429,Shahdara Railway Bridge,28.6749,77.2898
407,U02853,Masjid Moth,28.54085,77.236067
408,U01826,Bapu Dham,28.5994,77.1758
410,U99808,Madan Pur Dabas,28.715933,77.027883
411,U01749,RK Puram Sec-9,28.5713,77.1707
412,U03056,C R Park Market 2,28.537903,77.252411
413,U01375,New Moti Bagh B Block,28.66365,77.140683
414,DC4245,Tyag Raj Marg,28.6091,77.202983
415,U02878,Delhi Gate (JLN Marg),28.6400333333333,77.2380333333333
416,DC4683,Jatt Khor Village,28.78945,76.975483
417,DC4291,Shakur Pur JJ Colony/ Britannia,28.684313,77.14563
418,U02244,PNB Geetanjali,28.529313,77.2013
419,NS0394,NDPO,28.6256,77.2064
420,DC0031,Wazirpur Depot Road No 41 (Subhash Place Market),28.6937,77.1512
421,DC4331,Nehru Bus Stand Goyla Dairy,28.580514,77.019268
422,DC3668,RK Puram Sec-10,28.5702,77.173167
423,U01071A,Shiv Murti,28.536033,77.1119
424,U02514,Shivaji Stadium Terminal,28.633083,77.21545
425,U99646,Bawana,28.800011,77.035613
426,U03556,Badarpur Border,28.4927,77.303817
427,DC3794,Tahir Pur,28.691367,77.324967
428,U03673,Sunder Nagri,28.6928,77.3162
429,U02820,Turkman Gate / G B Pant Hosipatal,28.6417,77.2333
430,U01926,Bara Bagh,28.7017,77.1828
431,U03478,Meet Nagar,28.70025,77.297667
432,U01398,ISIC Hospital (Verma farm),28.53395,77.1427
433,U01539,C-4 Keshav Puram,28.6904,77.154983
434,U01957,Bharat Nagar Xing,28.6809,77.1846
435,U02699,Old Delhi Railway Station (Fatehpuri),28.660295,77.224901
436,U00012,AIR Force Camp,28.5633,76.8719
437,DC4417,Ghuman Hera School,28.537022,76.922455
438,U03213,DDA Kalkaji Extn,28.526817,77.2669
439,U00445,Harijan Basti,28.707367,77.040317
440,U01549,Shadipur Colony,28.6516,77.1561
441,U03610,Vijaya Laxmi Apartment,28.6289,77.309017
442,DC4268,Radhu Palace,28.636483,77.285567
443,DC3731,Gatta Factory Sonia Vihar,28.730183,77.24575
444,U01098,Rohini Sec-9 /7,28.7138,77.1172
445,U99986,Vikaspuri Xing,28.6276,77.0697
446,U00683,Pooth Kalan,28.71425,77.0770666666667
447,DC4509,Lado Sarai Crossing,28.52425,77.189967
448,U00401,Karala Crossing,28.731617,77.03235
449,DC4486,Baba Haridass Nagar,28.623725,76.970389
450,U00538,Prem Nagar,28.62211,77.056846
451,U03528,Saraswati Kunj,28.6239,77.3012
452,U00021,Bakkar Garh Xing,28.591717,76.885917
453,U02586,INMAS,28.703583,77.219917
454,U03149,ISBT Sarai Kale Khan,28.588832,77.258796
455,U01990,Hyatt Hotel,28.5702,77.1857
456,U00425,Rama Park,28.619965,77.036719
457,U01945,Subhadra Colony,28.671105,77.184219
458,U03621,Hassanpur Village,28.6363,77.3103
459,U03000,Nizamuddin Extension,28.589233,77.2463
460,U03084,Guru Ravi Das Ashram / Tughlaqabad Extension,28.51945,77.254483
461,U02888,Vayu Sena Bad (Tigri),28.5129,77.2389
462,U01030SB,Shahbad School,28.7456833333333,77.10735
463,U02639,Lodhi Colony,28.591683,77.2235
464,DC4586,Pochhan Pur Village Crossing,28.55919,77.038894
465,U01162,Metal Forging,28.6298,77.1233
466,U00808,Kapashera Crossing,28.5313,77.08815
467,U01765,Officer Enclave S.P Marg,28.597,77.1713
468,U01363,Pittampura BU-Block,28.7164,77.1396
469,DC4632,Issapur Village Temple,28.577244,76.86377
470,U00685,C1 Janak Puri,28.6178,77.0771
471,U00910,B Block Mangol Puri,28.689117,77.09555
472,DC4778,Ghuman Hera Crossing,28.52758,76.951074
473,U01139,Rohini Sec-16 Xing,28.7437,77.1216
474,U03637,Chand Cinema,28.612983,77.3125
475,DC4340,Police Post,28.577292,77.035195
476,U00996,St. Xavier School Shahbad,28.7456,77.103
477,DC0066,Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,28.59155,77.233117
478,DC4732,Ram Vihar,28.657602,77.310617
479,DC4048,Dashmesh Public School,28.598583,77.311283
480,U01220,Raja Garden,28.650783,77.1262
481,U01880,Bharat Nagar,28.6806,77.1799
482,U03100,Shastri Park,28.6729,77.2553
483,U01006,Pal Colony,28.7235,77.1036
484,DC4194,Dwarka Sec-6/7,28.59012,77.068955
485,DC4440,Dichau Chowk,28.617384,76.983711
486,ST2148,Mori Gate Terminal,28.665873,77.222024
487,U00273,FCI Ghevra,28.692392,76.9942
488,U02319,Bara Hindu Rao,28.6608666666667,77.20415
489,U01386,Samrat Enclave,28.68525,77.14105
490,DC3883,Dhool Siras,28.552849,77.035179
491,DC3577,Shastri Park,28.673083,77.25405
492,U00441,Ranhola II,28.654476,77.038017
493,U01729,South Patel Nagar (Metro Station),28.6454,77.1689
494,U01648,Vasant Lok,28.56035,77.164417
495,U02407,Maidan Garhi Crossing (SDM Court),28.519067,77.2088
496,U02999,Sant Nagar,28.552367,77.246167
497,DC3677,Mangol Puri J Block,28.697888,77.083427
498,U00871,PS Mangol Puri,28.6965,77.091882
500,U01930,New Rajinder Nagar Post Office,28.636825,77.182967
501,DC3783,Mangol Puri Y Block,28.70275,77.0881
502,NS0454,Doulat Ram College,28.6882,77.2063
